path_adversarial,original_prevision,adversarial_prevision,success
Adversarial_img/in_distribution/it/target/0.png,9,9,0
Adversarial_img/in_distribution/it/target/1.png,27,1,1
Adversarial_img/in_distribution/it/target/2.png,7,1,1
Adversarial_img/in_distribution/it/target/3.png,23,1,1
Adversarial_img/in_distribution/it/target/4.png,33,1,1
Adversarial_img/in_distribution/it/target/5.png,8,1,1
Adversarial_img/in_distribution/it/target/6.png,1,1,1
Adversarial_img/in_distribution/it/target/7.png,42,1,1
Adversarial_img/in_distribution/it/target/8.png,6,1,1
Adversarial_img/in_distribution/it/target/9.png,35,35,0
Adversarial_img/in_distribution/it/target/10.png,2,1,1
Adversarial_img/in_distribution/it/target/11.png,10,10,0
Adversarial_img/in_distribution/it/target/12.png,3,1,1
Adversarial_img/in_distribution/it/target/13.png,13,1,1
Adversarial_img/in_distribution/it/target/14.png,26,1,1
Adversarial_img/in_distribution/it/target/15.png,0,0,0
Adversarial_img/in_distribution/it/target/16.png,29,29,0
Adversarial_img/in_distribution/it/target/17.png,22,1,1
Adversarial_img/in_distribution/it/target/18.png,36,36,0
