path_adversarial,original_prevision,adversarial_prevision,success
Adversarial_img/in_distribution/fg/target/0.png,1,23,0
Adversarial_img/in_distribution/fg/target/1.png,9,9,0
Adversarial_img/in_distribution/fg/target/2.png,27,3,1
Adversarial_img/in_distribution/fg/target/3.png,7,12,0
Adversarial_img/in_distribution/fg/target/4.png,23,1,0
Adversarial_img/in_distribution/fg/target/5.png,33,33,0
Adversarial_img/in_distribution/fg/target/6.png,8,8,0
Adversarial_img/in_distribution/fg/target/7.png,1,3,1
Adversarial_img/in_distribution/fg/target/8.png,42,3,1
Adversarial_img/in_distribution/fg/target/9.png,6,6,0
Adversarial_img/in_distribution/fg/target/10.png,35,35,0
Adversarial_img/in_distribution/fg/target/11.png,2,3,1
Adversarial_img/in_distribution/fg/target/12.png,10,10,0
Adversarial_img/in_distribution/fg/target/13.png,13,21,0
Adversarial_img/in_distribution/fg/target/14.png,26,26,0
Adversarial_img/in_distribution/fg/target/15.png,0,38,0
Adversarial_img/in_distribution/fg/target/16.png,29,29,0
Adversarial_img/in_distribution/fg/target/17.png,22,21,0
Adversarial_img/in_distribution/fg/target/18.png,36,36,0
