path_adversarial,original_prevision,adversarial_prevision,success
Adversarial_img/in_distribution/it/untarget/0.png,1,3,1
Adversarial_img/in_distribution/it/untarget/1.png,9,9,0
Adversarial_img/in_distribution/it/untarget/2.png,27,3,1
Adversarial_img/in_distribution/it/untarget/3.png,7,3,1
Adversarial_img/in_distribution/it/untarget/4.png,23,3,1
Adversarial_img/in_distribution/it/untarget/5.png,33,3,1
Adversarial_img/in_distribution/it/untarget/6.png,8,3,1
Adversarial_img/in_distribution/it/untarget/7.png,1,3,1
Adversarial_img/in_distribution/it/untarget/8.png,42,3,1
Adversarial_img/in_distribution/it/untarget/9.png,6,3,1
Adversarial_img/in_distribution/it/untarget/10.png,35,35,0
Adversarial_img/in_distribution/it/untarget/11.png,2,3,1
Adversarial_img/in_distribution/it/untarget/12.png,10,10,0
Adversarial_img/in_distribution/it/untarget/13.png,13,3,1
Adversarial_img/in_distribution/it/untarget/14.png,26,3,1
Adversarial_img/in_distribution/it/untarget/15.png,0,38,1
Adversarial_img/in_distribution/it/untarget/16.png,29,29,0
Adversarial_img/in_distribution/it/untarget/17.png,22,3,1
Adversarial_img/in_distribution/it/untarget/18.png,36,3,1
